,January,February,March,April,May,June,July,August,September,October,November,December,
Albacete,"374.0","279.0","310.0","291.0","283.0","297.0","329.0","281.0","291.0","298.0","272.0","293.0",
Alicante/Alacant,"1296.0","1155.0","1260.0","1225.0","1292.0","1181.0","1372.0","1423.0","1428.0","1496.0","1316.0","1388.0",
Almería,"651.0","607.0","655.0","576.0","617.0","596.0","679.0","644.0","654.0","744.0","662.0","685.0",
Araba/Álava,"242.0","250.0","258.0","265.0","275.0","260.0","275.0","253.0","257.0","273.0","229.0","262.0",
Asturias,"568.0","493.0","564.0","550.0","608.0","556.0","593.0","552.0","555.0","559.0","530.0","543.0",
Ávila,"114.0","79.0","91.0","108.0","97.0","88.0","95.0","109.0","93.0","96.0","101.0","86.0",
Badajoz,"538.0","464.0","435.0","469.0","493.0","508.0","518.0","449.0","531.0","536.0","462.0","545.0",
Balears; Illes,"905.0","808.0","841.0","899.0","770.0","774.0","903.0","959.0","914.0","952.0","980.0","827.0",
Barcelona,"4461.0","4068.0","4282.0","4178.0","4385.0","4079.0","4582.0","4430.0","4443.0","4650.0","4383.0","4346.0",
Bizkaia,"829.0","715.0","806.0","847.0","818.0","787.0","898.0","825.0","865.0","801.0","768.0","771.0",
Burgos,"229.0","225.0","266.0","261.0","262.0","255.0","254.0","242.0","226.0","273.0","254.0","252.0",
Cáceres,"271.0","224.0","270.0","241.0","230.0","218.0","277.0","271.0","243.0","215.0","245.0","227.0",
Cádiz,"1046.0","901.0","885.0","1008.0","917.0","947.0","953.0","982.0","1106.0","1086.0","1025.0","1006.0",
Cantabria,"415.0","342.0","391.0","377.0","376.0","415.0","447.0","452.0","408.0","403.0","433.0","372.0",
Castellón/Castelló,"502.0","447.0","425.0","419.0","421.0","378.0","491.0","477.0","483.0","501.0","465.0","461.0",
Ciudad Real,"363.0","343.0","340.0","375.0","376.0","386.0","422.0","429.0","402.0","417.0","388.0","347.0",
Córdoba,"653.0","561.0","593.0","580.0","582.0","572.0","639.0","601.0","576.0","634.0","568.0","608.0",
Coruña; A,"757.0","611.0","678.0","687.0","708.0","662.0","770.0","676.0","749.0","757.0","726.0","669.0",
Cuenca,"120.0","112.0","131.0","121.0","133.0","128.0","146.0","129.0","126.0","119.0","142.0","123.0",
Gipuzkoa,"547.0","483.0","498.0","534.0","564.0","519.0","570.0","518.0","530.0","552.0","484.0","488.0",
Girona,"668.0","588.0","573.0","602.0","602.0","610.0","633.0","668.0","645.0","651.0","630.0","639.0",
Granada,"753.0","599.0","664.0","694.0","690.0","708.0","732.0","714.0","683.0","745.0","680.0","678.0",
